ID,Value,Decision,FeatureName,TimeStamp
96,32.91,0,"Groove Seat Distance, Outer",2024-04-03 00:09:31.134718
100,2.061,0,"Groove Radius, Lower Inner",2024-04-03 00:09:31.139749
103,1.796,0,"Groove Radius, Middle",2024-04-03 00:09:31.142747
106,2.584,0,"Groove Radius, Upper Outer",2024-04-03 00:09:31.150312
109,5.07,1,Groove Side Hem Height,2024-04-03 00:09:31.156317
14,48.778,0,Tongue Leg Height,2024-04-03 00:09:31.064622
18,2.379,0,"Groove Radius, Lower Outer",2024-04-03 00:09:31.071634
23,-133.151,0,Clip length/Width,2024-04-03 00:09:31.076636
24,5.07,0,Clip length/Distance,2024-04-03 00:09:31.080631
32,39.738,0,Tongue Middle Leg Height,2024-04-03 00:09:31.092165
38,4.074,1,Tongue Lower Leg Height,2024-04-03 00:09:31.095169
43,10.908,0,Tongue Width,2024-04-03 00:09:31.099172
50,5.708,0,"Tongue Width, Upper",2024-04-03 00:09:31.103172
63,0.768,0,Groove Upper Bump Height,2024-04-03 00:09:31.107184
66,7.05,1,Groove upper Claw Height,2024-04-03 00:09:31.112180
68,45.866,1,Groove Height,2024-04-03 00:09:31.118723
77,3.056,0,"Groove Width, Outer",2024-04-03 00:09:31.123707
80,11.305,0,"Groove Width, Inner",2024-04-03 00:09:31.127706
90,-1.7976931348623157e+308,0,"Groove Seat Distance, Inner",2024-04-03 00:09:31.131718
96,32.91,0,"Groove Seat Distance, Outer",2024-04-03 00:09:31.134718
100,2.061,0,"Groove Radius, Lower Inner",2024-04-03 00:09:31.139749
103,1.796,0,"Groove Radius, Middle",2024-04-03 00:09:31.142747
106,2.584,0,"Groove Radius, Upper Outer",2024-04-03 00:09:31.150312
109,5.07,1,Groove Side Hem Height,2024-04-03 00:09:31.156317
116,4.814,1,Tongue Hem Height,2024-04-03 00:09:31.160302
14,48.778,0,Tongue Leg Height,2024-04-03 00:09:31.064622
18,2.379,0,"Groove Radius, Lower Outer",2024-04-03 00:09:31.071634
23,-133.151,0,Clip length/Width,2024-04-03 00:09:31.076636
24,5.07,0,Clip length/Distance,2024-04-03 00:09:31.080631
32,39.738,0,Tongue Middle Leg Height,2024-04-03 00:09:31.092165
38,4.074,1,Tongue Lower Leg Height,2024-04-03 00:09:31.095169
43,10.908,0,Tongue Width,2024-04-03 00:09:31.099172
50,5.708,0,"Tongue Width, Upper",2024-04-03 00:09:31.103172
63,0.768,0,Groove Upper Bump Height,2024-04-03 00:09:31.107184
66,7.05,1,Groove upper Claw Height,2024-04-03 00:09:31.112180
68,45.866,1,Groove Height,2024-04-03 00:09:31.118723
77,3.056,0,"Groove Width, Outer",2024-04-03 00:09:31.123707
80,11.305,0,"Groove Width, Inner",2024-04-03 00:09:31.127706
90,-1.7976931348623157e+308,0,"Groove Seat Distance, Inner",2024-04-03 00:09:31.131718
96,32.91,0,"Groove Seat Distance, Outer",2024-04-03 00:09:31.134718
100,2.061,0,"Groove Radius, Lower Inner",2024-04-03 00:09:31.139749
103,1.796,0,"Groove Radius, Middle",2024-04-03 00:09:31.142747
106,2.584,0,"Groove Radius, Upper Outer",2024-04-03 00:09:31.150312
109,5.07,1,Groove Side Hem Height,2024-04-03 00:09:31.156317
116,4.814,1,Tongue Hem Height,2024-04-03 00:09:31.160302
120,-17.416,0,Unknown,2024-04-03 00:09:31.163382
14,48.778,0,Tongue Leg Height,2024-04-03 00:09:31.064622
18,2.379,0,"Groove Radius, Lower Outer",2024-04-03 00:09:31.071634
23,-133.151,0,Clip length/Width,2024-04-03 00:09:31.076636
24,5.07,0,Clip length/Distance,2024-04-03 00:09:31.080631
32,39.738,0,Tongue Middle Leg Height,2024-04-03 00:09:31.092165
38,4.074,1,Tongue Lower Leg Height,2024-04-03 00:09:31.095169
43,10.908,0,Tongue Width,2024-04-03 00:09:31.099172
50,5.708,0,"Tongue Width, Upper",2024-04-03 00:09:31.103172
63,0.768,0,Groove Upper Bump Height,2024-04-03 00:09:31.107184
66,7.05,1,Groove upper Claw Height,2024-04-03 00:09:31.112180
68,45.866,1,Groove Height,2024-04-03 00:09:31.118723
77,3.056,0,"Groove Width, Outer",2024-04-03 00:09:31.123707
80,11.305,0,"Groove Width, Inner",2024-04-03 00:09:31.127706
90,-1.7976931348623157e+308,0,"Groove Seat Distance, Inner",2024-04-03 00:09:31.131718
96,32.91,0,"Groove Seat Distance, Outer",2024-04-03 00:09:31.134718
100,2.061,0,"Groove Radius, Lower Inner",2024-04-03 00:09:31.139749
103,1.796,0,"Groove Radius, Middle",2024-04-03 00:09:31.142747
106,2.584,0,"Groove Radius, Upper Outer",2024-04-03 00:09:31.150312
109,5.07,1,Groove Side Hem Height,2024-04-03 00:09:31.156317
116,4.814,1,Tongue Hem Height,2024-04-03 00:09:31.160302
120,-17.416,0,Unknown,2024-04-03 00:09:31.163382
121,11.408,0,Tongue Lower Radius,2024-04-03 00:09:31.166378
14,48.778,0,Tongue Leg Height,2024-04-03 00:09:31.064622
18,2.379,0,"Groove Radius, Lower Outer",2024-04-03 00:09:31.071634
23,-133.151,0,Clip length/Width,2024-04-03 00:09:31.076636
24,5.07,0,Clip length/Distance,2024-04-03 00:09:31.080631
32,39.738,0,Tongue Middle Leg Height,2024-04-03 00:09:31.092165
38,4.074,1,Tongue Lower Leg Height,2024-04-03 00:09:31.095169
43,10.908,0,Tongue Width,2024-04-03 00:09:31.099172
50,5.708,0,"Tongue Width, Upper",2024-04-03 00:09:31.103172
63,0.768,0,Groove Upper Bump Height,2024-04-03 00:09:31.107184
66,7.05,1,Groove upper Claw Height,2024-04-03 00:09:31.112180
68,45.866,1,Groove Height,2024-04-03 00:09:31.118723
77,3.056,0,"Groove Width, Outer",2024-04-03 00:09:31.123707
80,11.305,0,"Groove Width, Inner",2024-04-03 00:09:31.127706
90,-1.7976931348623157e+308,0,"Groove Seat Distance, Inner",2024-04-03 00:09:31.131718
96,32.91,0,"Groove Seat Distance, Outer",2024-04-03 00:09:31.134718
100,2.061,0,"Groove Radius, Lower Inner",2024-04-03 00:09:31.139749
103,1.796,0,"Groove Radius, Middle",2024-04-03 00:09:31.142747
106,2.584,0,"Groove Radius, Upper Outer",2024-04-03 00:09:31.150312
109,5.07,1,Groove Side Hem Height,2024-04-03 00:09:31.156317
116,4.814,1,Tongue Hem Height,2024-04-03 00:09:31.160302
120,-17.416,0,Unknown,2024-04-03 00:09:31.163382
121,11.408,0,Tongue Lower Radius,2024-04-03 00:09:31.166378
125,5.079,0,Tongue Upper Radius,2024-04-03 00:09:31.169381
